product_id,name,display_name,category,subcategory,brand,price,description_length,description_length_words,description_length_chars,image_count,number_of_images,image_url,has_image,category_code,rating,review_count,product_age_days,created_at
33,مجموعه عنايه بالشعر,مجموعه عنايه بالشعر,الجمال والعنايه,unknown_subcategory,نيفيا,404.5,70,11,70,5,5,,False,الجمال والعنايه,4.2,0,1113.0,2023-05-18 18:30:17
34,طقم مكياج احترافي,طقم مكياج احترافي,الجمال والعنايه,unknown_subcategory,بالمر,269.1,59,10,59,3,3,,False,الجمال والعنايه,3.0,0,1095.0,2023-06-05 14:25:54
35,عطر نسايي زهري,عطر نسايي زهري,الجمال والعنايه,unknown_subcategory,افينو,790.82,78,14,78,5,5,,False,الجمال والعنايه,4.8,0,1087.0,2023-06-13 23:34:56
36,عطر رجالي عودي,عطر رجالي عودي,الجمال والعنايه,unknown_subcategory,دوف,703.99,56,10,56,8,8,,False,الجمال والعنايه,4.0,0,1190.0,2023-03-02 05:59:03
37,غسول وجه للبشره الحساسه,غسول وجه للبشره الحساسه,الجمال والعنايه,unknown_subcategory,ماك,113.29,74,12,74,7,7,,False,الجمال والعنايه,3.3,0,1228.0,2023-01-23 03:24:09
38,زيت ارغان طبيعي,زيت ارغان طبيعي,الجمال والعنايه,unknown_subcategory,ماك,325.54,66,11,66,8,8,,False,الجمال والعنايه,3.7,0,1125.0,2023-05-06 07:58:56
39,قناع وجه كولاجين,قناع وجه كولاجين,الجمال والعنايه,unknown_subcategory,ماك,51.31,80,14,80,6,6,,False,الجمال والعنايه,3.5,0,1221.0,2023-01-30 16:25:29
40,مزيل عرق رول اون,مزيل عرق رول اون,الجمال والعنايه,unknown_subcategory,نيفيا,36.51,58,11,58,5,5,,False,الجمال والعنايه,4.5,0,1104.0,2023-05-27 11:58:20
41,حذاء جري احترافي,حذاء جري احترافي,الرياضه واللياقه,unknown_subcategory,هيد,708.68,67,11,67,7,7,,False,الرياضه واللياقه,4.8,0,1129.0,2023-05-02 06:28:56
42,لباس رياضي ضاغط,لباس رياضي ضاغط,الرياضه واللياقه,unknown_subcategory,ريبوك,162.27,69,12,69,7,7,,False,الرياضه واللياقه,3.1,0,1192.0,2023-02-28 19:14:43
43,دراجه هواييه جبليه,دراجه هواييه جبليه,الرياضه واللياقه,unknown_subcategory,نايكي,1574.27,72,12,72,5,5,,False,الرياضه واللياقه,3.1,0,1243.0,2023-01-08 07:15:44
44,جهاز مشي كهربايي,جهاز مشي كهربايي,الرياضه واللياقه,unknown_subcategory,نيو بالانس,1768.56,72,11,72,6,6,,False,الرياضه واللياقه,4.7,0,1135.0,2023-04-26 08:36:45
45,كره قدم رسميه فيفا,كره قدم رسميه فيفا,الرياضه واللياقه,unknown_subcategory,هيد,207.67,69,12,69,2,2,,False,الرياضه واللياقه,4.9,0,1163.0,2023-03-29 07:54:39
46,حصيره يوغا مضاده للانزلاق,حصيره يوغا مضاده للانزلاق,الرياضه واللياقه,unknown_subcategory,اندر ارمور,121.09,81,12,81,2,2,,False,الرياضه واللياقه,4.0,0,1163.0,2023-03-29 11:35:23
47,اوزان حديد طقم 20 كيلو,اوزان حديد طقم 20 كيلو,الرياضه واللياقه,unknown_subcategory,ريبوك,691.19,73,13,73,3,3,,False,الرياضه واللياقه,3.2,0,1243.0,2023-01-08 14:24:55
48,حقيبه رياضيه جيم,حقيبه رياضيه جيم,الرياضه واللياقه,unknown_subcategory,هيد,377.48,67,11,67,3,3,,False,الرياضه واللياقه,4.0,0,1180.0,2023-03-12 15:53:14
49,جهاز قياس ضغط الدم,جهاز قياس ضغط الدم,الرياضه واللياقه,unknown_subcategory,نيو بالانس,247.85,69,12,69,6,6,,False,الرياضه واللياقه,4.5,0,1240.0,2023-01-11 04:02:27
50,عداد خطوات ذكي,عداد خطوات ذكي,الرياضه واللياقه,unknown_subcategory,ريبوك,103.84,65,11,65,5,5,,False,الرياضه واللياقه,3.2,0,1195.0,2023-02-25 04:13:15
51,كتاب تعلم البرمجه بالعربيه,كتاب تعلم البرمجه بالعربيه,الكتب والتعليم,unknown_subcategory,دار قرطبه,66.67,66,10,66,4,4,,False,الكتب والتعليم,4.2,0,1190.0,2023-03-02 05:47:04
52,موسوعه التاريخ الاسلامي,موسوعه التاريخ الاسلامي,الكتب والتعليم,unknown_subcategory,نشر المعرفه,108.37,63,9,63,4,4,,False,الكتب والتعليم,4.4,0,1142.0,2023-04-19 12:45:56
53,كتاب رياده الاعمال والنجاح,كتاب رياده الاعمال والنجاح,الكتب والتعليم,unknown_subcategory,بنغوين,95.99,75,11,75,7,7,,False,الكتب والتعليم,4.3,0,1073.0,2023-06-27 04:18:56
54,قاموس عربي انجليزي شامل,قاموس عربي انجليزي شامل,الكتب والتعليم,unknown_subcategory,نشر المعرفه,131.19,71,12,71,3,3,,False,الكتب والتعليم,3.0,0,1209.0,2023-02-11 14:12:36
55,روايه عربيه بيست سيلر,روايه عربيه بيست سيلر,الكتب والتعليم,unknown_subcategory,اكاديميا,41.52,61,10,61,2,2,,False,الكتب والتعليم,5.0,0,1193.0,2023-02-27 10:29:27
56,دوره برمجه اكاديميه USB,دوره برمجه اكاديميه USB,الكتب والتعليم,unknown_subcategory,مكتبه جرير,327.69,72,11,72,6,6,,False,الكتب والتعليم,4.1,0,1243.0,2023-01-08 07:54:57
57,مجموعه كتب الطفل التعليميه,مجموعه كتب الطفل التعليميه,الكتب والتعليم,unknown_subcategory,دار قرطبه,215.42,66,10,66,8,8,,False,الكتب والتعليم,3.3,0,1116.0,2023-05-15 12:53:40
58,كتاب الطبخ العربي التقليدي,كتاب الطبخ العربي التقليدي,الكتب والتعليم,unknown_subcategory,دار قرطبه,143.75,74,12,74,7,7,,False,الكتب والتعليم,3.1,0,1111.0,2023-05-20 17:30:44
59,كتاب تطوير الذات والتحفيز,كتاب تطوير الذات والتحفيز,الكتب والتعليم,unknown_subcategory,اكاديميا,88.07,73,12,73,3,3,,False,الكتب والتعليم,4.5,0,1147.0,2023-04-14 16:40:20
60,اطلس العالم المصور,اطلس العالم المصور,الكتب والتعليم,unknown_subcategory,اكاديميا,325.99,67,10,67,6,6,,False,الكتب والتعليم,3.4,0,1165.0,2023-03-27 13:19:57
61,فرن كهربايي 60 لتر - اصدار خاص,فرن كهربايي 60 لتر - اصدار خاص,المنزل والمطبخ,unknown_subcategory,هايسنس,1462.89,80,17,80,2,2,,False,المنزل والمطبخ,4.5,0,1081.0,2023-06-19 12:29:01
62,كتاب الطبخ العربي التقليدي - اصدار خاص,كتاب الطبخ العربي التقليدي - اصدار خاص,الكتب والتعليم,unknown_subcategory,بنغوين,122.09,87,14,87,1,1,,False,الكتب والتعليم,2.8,0,1195.0,2023-02-25 08:29:23
63,حذاء رياضي مريح - اصدار خاص,حذاء رياضي مريح - اصدار خاص,الازياء والملابس,unknown_subcategory,بوما,557.39,76,13,76,1,1,,False,الازياء والملابس,2.9,0,1074.0,2023-06-26 19:15:38
64,عطر رجالي عودي - اصدار خاص,عطر رجالي عودي - اصدار خاص,الجمال والعنايه,unknown_subcategory,لوريال,578.73,68,13,68,2,2,,False,الجمال والعنايه,3.5,0,1176.0,2023-03-16 23:39:52
65,مكنسه كهرباييه لاسلكيه - اصدار خاص,مكنسه كهرباييه لاسلكيه - اصدار خاص,المنزل والمطبخ,unknown_subcategory,فيليبس,586.82,84,16,84,6,6,,False,المنزل والمطبخ,2.7,0,1185.0,2023-03-07 02:33:58
66,قميص قطني كلاسيكي - اصدار خاص,قميص قطني كلاسيكي - اصدار خاص,الازياء والملابس,unknown_subcategory,ليفايز,234.31,79,14,79,6,6,,False,الازياء والملابس,3.7,0,1159.0,2023-04-02 02:12:41
67,لابتوب الترا سليم - اصدار خاص,لابتوب الترا سليم - اصدار خاص,الالكترونيات,unknown_subcategory,سامسونج,3651.66,82,14,82,6,6,,False,الالكترونيات,4.6,0,1132.0,2023-04-29 05:35:12
68,تابلت 10 انش - اصدار خاص,تابلت 10 انش - اصدار خاص,الالكترونيات,unknown_subcategory,شاومي,1081.84,82,16,82,6,6,,False,الالكترونيات,2.6,0,1096.0,2023-06-04 03:50:16
69,لابتوب الترا سليم - اصدار خاص,لابتوب الترا سليم - اصدار خاص,الالكترونيات,unknown_subcategory,اوبو,5185.33,82,14,82,5,5,,False,الالكترونيات,2.5,0,1204.0,2023-02-16 23:30:48
70,فرن كهربايي 60 لتر - اصدار خاص,فرن كهربايي 60 لتر - اصدار خاص,المنزل والمطبخ,unknown_subcategory,فيليبس,1076.29,74,13,74,2,2,,False,المنزل والمطبخ,3.1,0,1121.0,2023-05-10 00:11:40
71,حصيره يوغا مضاده للانزلاق - اصدار خاص,حصيره يوغا مضاده للانزلاق - اصدار خاص,الرياضه واللياقه,unknown_subcategory,اديداس,241.15,88,15,88,5,5,,False,الرياضه واللياقه,3.9,0,1247.0,2023-01-04 22:45:53
72,كريم مرطب SPF 50 - اصدار خاص,كريم مرطب SPF 50 - اصدار خاص,الجمال والعنايه,unknown_subcategory,دوف,295.83,92,18,92,3,3,,False,الجمال والعنايه,3.1,0,1097.0,2023-06-03 02:46:10
73,فستان سهره انيق - اصدار خاص,فستان سهره انيق - اصدار خاص,الازياء والملابس,unknown_subcategory,نايكي,249.37,76,13,76,6,6,,False,الازياء والملابس,3.4,0,1217.0,2023-02-03 23:58:28
74,كتاب الطبخ العربي التقليدي - اصدار خاص,كتاب الطبخ العربي التقليدي - اصدار خاص,الكتب والتعليم,unknown_subcategory,اكاديميا,132.13,78,13,78,6,6,,False,الكتب والتعليم,4.5,0,1100.0,2023-05-31 17:18:33
75,تابلت 10 انش - اصدار خاص,تابلت 10 انش - اصدار خاص,الالكترونيات,unknown_subcategory,شاومي,670.09,85,15,85,3,3,,False,الالكترونيات,3.0,0,1190.0,2023-03-02 05:03:30
76,حقيبه رياضيه جيم - اصدار خاص,حقيبه رياضيه جيم - اصدار خاص,الرياضه واللياقه,unknown_subcategory,نيو بالانس,110.25,82,15,82,3,3,,False,الرياضه واللياقه,4.1,0,1083.0,2023-06-17 09:51:24
77,دوره برمجه اكاديميه USB - اصدار خاص,دوره برمجه اكاديميه USB - اصدار خاص,الكتب والتعليم,unknown_subcategory,الوراق,193.57,83,15,83,6,6,,False,الكتب والتعليم,3.4,0,1165.0,2023-03-27 09:19:16
78,عطر رجالي عودي - اصدار خاص,عطر رجالي عودي - اصدار خاص,الجمال والعنايه,unknown_subcategory,نارس,637.27,77,14,77,3,3,,False,الجمال والعنايه,3.7,0,1095.0,2023-06-05 13:37:14
79,سيروم فيتامين سي - اصدار خاص,سيروم فيتامين سي - اصدار خاص,الجمال والعنايه,unknown_subcategory,دوف,421.1,79,14,79,3,3,,False,الجمال والعنايه,4.6,0,1188.0,2023-03-04 08:57:13
80,ماكينه قهوه اسبريسو - اصدار خاص,ماكينه قهوه اسبريسو - اصدار خاص,المنزل والمطبخ,unknown_subcategory,اريتي,996.58,86,15,86,6,6,,False,المنزل والمطبخ,4.3,0,1164.0,2023-03-28 04:45:46
81,شاشه 4K 27 انش - اصدار خاص,شاشه 4K 27 انش - اصدار خاص,الالكترونيات,unknown_subcategory,لينوفو,1613.84,87,16,87,1,1,,False,الالكترونيات,5.0,0,1120.0,2023-05-11 07:56:37
82,مجموعه سكاكين مطبخ - اصدار خاص,مجموعه سكاكين مطبخ - اصدار خاص,المنزل والمطبخ,unknown_subcategory,ديلونجي,482.06,80,16,80,6,6,,False,المنزل والمطبخ,2.9,0,1099.0,2023-06-01 17:10:39
83,فستان سهره انيق - اصدار خاص,فستان سهره انيق - اصدار خاص,الازياء والملابس,unknown_subcategory,ماكس فاشون,584.83,76,13,76,5,5,,False,الازياء والملابس,3.4,0,1244.0,2023-01-07 06:55:35
84,كتاب الطبخ العربي التقليدي - اصدار خاص,كتاب الطبخ العربي التقليدي - اصدار خاص,الكتب والتعليم,unknown_subcategory,بنغوين,98.36,87,14,87,2,2,,False,الكتب والتعليم,4.4,0,1148.0,2023-04-13 19:27:42
85,ماكينه قهوه اسبريسو - اصدار خاص,ماكينه قهوه اسبريسو - اصدار خاص,المنزل والمطبخ,unknown_subcategory,تيفال,1742.75,86,15,86,4,4,,False,المنزل والمطبخ,2.6,0,1150.0,2023-04-11 12:52:04
86,لباس رياضي ضاغط - اصدار خاص,لباس رياضي ضاغط - اصدار خاص,الرياضه واللياقه,unknown_subcategory,نيو بالانس,336.99,83,14,83,5,5,,False,الرياضه واللياقه,4.3,0,1195.0,2023-02-25 10:53:04
87,طقم مكياج احترافي - اصدار خاص,طقم مكياج احترافي - اصدار خاص,الجمال والعنايه,unknown_subcategory,نيفيا,281.44,93,17,93,6,6,,False,الجمال والعنايه,2.7,0,1164.0,2023-03-28 10:22:06
88,دوره برمجه اكاديميه USB - اصدار خاص,دوره برمجه اكاديميه USB - اصدار خاص,الكتب والتعليم,unknown_subcategory,بنغوين,398.34,83,15,83,3,3,,False,الكتب والتعليم,3.9,0,1085.0,2023-06-15 07:38:05
89,كتاب رياده الاعمال والنجاح - اصدار خاص,كتاب رياده الاعمال والنجاح - اصدار خاص,الكتب والتعليم,unknown_subcategory,بنغوين,73.16,78,13,78,2,2,,False,الكتب والتعليم,2.8,0,1205.0,2023-02-15 23:16:14
90,شاشه 4K 27 انش - اصدار خاص,شاشه 4K 27 انش - اصدار خاص,الالكترونيات,unknown_subcategory,ال جي,2115.26,87,16,87,5,5,,False,الالكترونيات,5.0,0,1079.0,2023-06-21 16:53:13
91,فرن كهربايي 60 لتر - اصدار خاص,فرن كهربايي 60 لتر - اصدار خاص,المنزل والمطبخ,unknown_subcategory,توشيبا,978.27,80,17,80,1,1,,False,المنزل والمطبخ,4.4,0,1226.0,2023-01-25 08:03:54
92,موسوعه التاريخ الاسلامي - اصدار خاص,موسوعه التاريخ الاسلامي - اصدار خاص,الكتب والتعليم,unknown_subcategory,اكاديميا,182.48,75,12,75,5,5,,False,الكتب والتعليم,3.8,0,1126.0,2023-05-05 05:39:20
93,شال كشمير ناعم - اصدار خاص,شال كشمير ناعم - اصدار خاص,الازياء والملابس,unknown_subcategory,زارا,304.48,75,13,75,2,2,,False,الازياء والملابس,3.8,0,1219.0,2023-02-01 10:49:14
94,قاموس عربي انجليزي شامل - اصدار خاص,قاموس عربي انجليزي شامل - اصدار خاص,الكتب والتعليم,unknown_subcategory,بنغوين,192.65,83,15,83,1,1,,False,الكتب والتعليم,3.8,0,1202.0,2023-02-18 15:54:19
95,كره قدم رسميه فيفا - اصدار خاص,كره قدم رسميه فيفا - اصدار خاص,الرياضه واللياقه,unknown_subcategory,بوما,217.5,86,15,86,5,5,,False,الرياضه واللياقه,4.0,0,1126.0,2023-05-05 11:13:04
96,دراجه هواييه جبليه - اصدار خاص,دراجه هواييه جبليه - اصدار خاص,الرياضه واللياقه,unknown_subcategory,بوما,2249.21,81,14,81,3,3,,False,الرياضه واللياقه,4.3,0,1087.0,2023-06-13 14:28:27
97,هاتف ذكي برو ماكس - اصدار خاص,هاتف ذكي برو ماكس - اصدار خاص,الالكترونيات,unknown_subcategory,ابل,1968.21,82,15,82,3,3,,False,الالكترونيات,4.1,0,1124.0,2023-05-07 10:29:08
98,اوزان حديد طقم 20 كيلو - اصدار خاص,اوزان حديد طقم 20 كيلو - اصدار خاص,الرياضه واللياقه,unknown_subcategory,نايكي,449.02,88,17,88,6,6,,False,الرياضه واللياقه,4.1,0,1192.0,2023-02-28 15:51:38
99,مجموعه كتب الطفل التعليميه - اصدار خاص,مجموعه كتب الطفل التعليميه - اصدار خاص,الكتب والتعليم,unknown_subcategory,الوراق,185.24,78,13,78,4,4,,False,الكتب والتعليم,4.2,0,1170.0,2023-03-22 16:56:15
100,حقيبه يد جلديه - اصدار خاص,حقيبه يد جلديه - اصدار خاص,الازياء والملابس,unknown_subcategory,مانجو,418.81,77,14,77,3,3,,False,الازياء والملابس,4.3,0,1173.0,2023-03-19 10:09:14
101,مجموعه سكاكين مطبخ - اصدار خاص,مجموعه سكاكين مطبخ - اصدار خاص,المنزل والمطبخ,unknown_subcategory,بوش,241.26,74,12,74,4,4,,False,المنزل والمطبخ,3.7,0,1202.0,2023-02-18 03:23:08
102,تابلت 10 انش - اصدار خاص,تابلت 10 انش - اصدار خاص,الالكترونيات,unknown_subcategory,لينوفو,1982.66,85,15,85,3,3,,False,الالكترونيات,3.5,0,1138.0,2023-04-23 04:13:00
103,بنطلون جينز سليم فيت - اصدار خاص,بنطلون جينز سليم فيت - اصدار خاص,الازياء والملابس,unknown_subcategory,بوما,398.87,81,14,81,4,4,,False,الازياء والملابس,3.7,0,1246.0,2023-01-05 12:00:33
104,قناع وجه كولاجين - اصدار خاص,قناع وجه كولاجين - اصدار خاص,الجمال والعنايه,unknown_subcategory,افينو,146.34,70,13,70,1,1,,False,الجمال والعنايه,3.0,0,1241.0,2023-01-10 19:32:07
105,حقيبه رياضيه جيم - اصدار خاص,حقيبه رياضيه جيم - اصدار خاص,الرياضه واللياقه,unknown_subcategory,نيو بالانس,250.27,82,15,82,2,2,,False,الرياضه واللياقه,4.6,0,1079.0,2023-06-21 08:32:30
106,فرن كهربايي 60 لتر - اصدار خاص,فرن كهربايي 60 لتر - اصدار خاص,المنزل والمطبخ,unknown_subcategory,وايتبوينت,449.77,80,17,80,2,2,,False,المنزل والمطبخ,2.6,0,1180.0,2023-03-12 09:28:59
107,كاميرا ميرورليس - اصدار خاص,كاميرا ميرورليس - اصدار خاص,الالكترونيات,unknown_subcategory,اوبو,5057.62,80,13,80,6,6,,False,الالكترونيات,3.2,0,1132.0,2023-04-29 15:40:02
108,كاميرا ميرورليس - اصدار خاص,كاميرا ميرورليس - اصدار خاص,الالكترونيات,unknown_subcategory,ال جي,5179.59,85,15,85,2,2,,False,الالكترونيات,3.3,0,1212.0,2023-02-08 15:40:37
109,قناع وجه كولاجين - اصدار خاص,قناع وجه كولاجين - اصدار خاص,الجمال والعنايه,unknown_subcategory,لوريال,44.98,70,13,70,4,4,,False,الجمال والعنايه,2.8,0,1150.0,2023-04-11 20:15:57
110,جهاز قياس ضغط الدم - اصدار خاص,جهاز قياس ضغط الدم - اصدار خاص,الرياضه واللياقه,unknown_subcategory,بوما,228.23,86,15,86,4,4,,False,الرياضه واللياقه,4.0,0,1131.0,2023-04-30 17:06:01
111,مكواه بخاريه احترافيه - اصدار خاص,مكواه بخاريه احترافيه - اصدار خاص,المنزل والمطبخ,unknown_subcategory,وايتبوينت,453.66,77,12,77,6,6,,False,المنزل والمطبخ,3.8,0,1141.0,2023-04-20 07:25:01
112,شاشه 4K 27 انش - اصدار خاص,شاشه 4K 27 انش - اصدار خاص,الالكترونيات,unknown_subcategory,ال جي,2651.9,79,15,79,3,3,,False,الالكترونيات,4.9,0,1096.0,2023-06-04 17:08:47
113,كتاب تعلم البرمجه بالعربيه - اصدار خاص,كتاب تعلم البرمجه بالعربيه - اصدار خاص,الكتب والتعليم,unknown_subcategory,اكاديميا,61.24,87,14,87,5,5,,False,الكتب والتعليم,4.1,0,1206.0,2023-02-14 04:25:41
114,حقيبه رياضيه جيم - اصدار خاص,حقيبه رياضيه جيم - اصدار خاص,الرياضه واللياقه,unknown_subcategory,بوما,246.79,82,15,82,2,2,,False,الرياضه واللياقه,4.3,0,1091.0,2023-06-09 13:13:08
115,شاحن لاسلكي سريع - اصدار خاص,شاحن لاسلكي سريع - اصدار خاص,الالكترونيات,unknown_subcategory,ابل,131.51,86,16,86,2,2,,False,الالكترونيات,3.6,0,1170.0,2023-03-22 04:32:00
116,قناع وجه كولاجين - اصدار خاص,قناع وجه كولاجين - اصدار خاص,الجمال والعنايه,unknown_subcategory,افينو,136.01,92,17,92,6,6,,False,الجمال والعنايه,4.3,0,1224.0,2023-01-27 19:30:39
117,حصيره يوغا مضاده للانزلاق - اصدار خاص,حصيره يوغا مضاده للانزلاق - اصدار خاص,الرياضه واللياقه,unknown_subcategory,هيد,159.84,93,15,93,4,4,,False,الرياضه واللياقه,3.3,0,1073.0,2023-06-27 02:48:24
118,حصيره يوغا مضاده للانزلاق - اصدار خاص,حصيره يوغا مضاده للانزلاق - اصدار خاص,الرياضه واللياقه,unknown_subcategory,نيو بالانس,175.91,93,15,93,3,3,,False,الرياضه واللياقه,3.0,0,1142.0,2023-04-19 08:52:20
119,ماكينه قهوه اسبريسو - اصدار خاص,ماكينه قهوه اسبريسو - اصدار خاص,المنزل والمطبخ,unknown_subcategory,تيفال,1350.85,75,12,75,3,3,,False,المنزل والمطبخ,3.7,0,1142.0,2023-04-19 20:03:41
120,روايه عربيه بيست سيلر - اصدار خاص,روايه عربيه بيست سيلر - اصدار خاص,الكتب والتعليم,unknown_subcategory,الوراق,37.31,81,15,81,4,4,,False,الكتب والتعليم,4.2,0,1092.0,2023-06-08 21:54:55
121,حذاء رياضي مريح - اصدار خاص,حذاء رياضي مريح - اصدار خاص,الازياء والملابس,unknown_subcategory,زارا,279.43,76,13,76,4,4,,False,الازياء والملابس,4.3,0,1123.0,2023-05-08 09:03:04
